source,target,relationship
8.EE.C.8,HSA.REI.C.7,dependency
8.EE.C.8,HSA.REI.D.10,dependency
8.EE.C.8,HSA.REI.D.12,dependency
8.EE.C.8,HSG.GPE.B.5,dependency
8.F.A.1,8.F.A.2,dependency
8.F.A.1,8.F.A.3,dependency
8.F.A.1,8.F.B.5,dependency
8.F.A.1,HSF.IF.A.1,dependency
8.F.A.1,HSG.C.A.2,dependency
8.F.A.1,HSG.CO.A.2,dependency
8.F.A.2,8.F.A.3,dependency
8.F.A.2,8.F.B.5,dependency
8.F.A.2,HSF.IF.C.9,dependency
8.F.A.3,8.F.B.4,dependency
8.F.A.3,8.F.B.5,dependency
8.F.A.3,HSF.LE.A.1,dependency
8.F.B.4,HSA.CED.A.2,dependency
8.F.B.4,HSF.BF.A.1.a,dependency
8.F.B.4,HSF.BF.A.2,dependency
8.F.B.4,HSF.IF.B.6,dependency
8.F.B.4,HSF.LE.A.1,dependency
8.F.B.4,HSF.LE.A.2,dependency
8.F.B.4,HSF.LE.B.5,dependency
8.F.B.4,HSS.ID.C.7,dependency
8.F.B.5,8.F.B.4,conceptual connection
8.F.B.5,HSF.IF.B.4,dependency
8.F.B.5,HSF.LE.A.1,dependency
8.F.B.5,HSF.LE.A.3,dependency
8.G.A.1,8.G.A.2,dependency
8.G.A.1,8.G.A.3,dependency
8.G.A.1,HSG.C.A.2,dependency
8.G.A.1,HSG.CO.A.2,dependency
8.G.A.1,HSG.CO.A.4,dependency
8.G.A.2,8.G.A.4,dependency
8.G.A.2,8.G.A.5,dependency
8.G.A.2,HSG.CO.A.5,dependency
8.G.A.2,HSG.CO.B.6,dependency
8.G.A.3,8.G.A.4,dependency
8.G.A.3,HSG.CO.A.5,dependency
8.G.A.3,HSG.SRT.A.1,dependency
8.G.A.4,8.G.A.5,dependency
8.G.A.4,HSG.SRT.A.2,dependency
8.G.A.5,8.EE.B.6,dependency
8.G.A.5,HSG.CO.C.10,dependency
8.G.A.5,HSG.CO.C.9,dependency
8.G.A.5,HSG.SRT.A.3,dependency
8.G.B.6,8.G.B.7,conceptual connection
8.G.B.6,HSG.SRT.B.4,dependency
8.G.B.7,8.G.B.8,dependency
8.G.B.7,HSF.TF.C.8,dependency
8.G.B.7,HSG.SRT.C.8,dependency
8.G.B.8,HSG.GPE.A.1,dependency
8.G.B.8,HSG.GPE.A.2,dependency
8.G.B.8,HSG.GPE.B.4,dependency
8.G.B.8,HSG.GPE.B.7,dependency
8.G.C.9,HSG.GMD.A.1,dependency
8.G.C.9,HSG.GMD.A.3,dependency
8.G.C.9,HSG.MG.A.1,dependency
8.G.C.9,HSG.MG.A.3,dependency
8.NS.A.1,8.EE.A.2,conceptual connection
8.NS.A.1,8.NS.A.2,conceptual connection
8.NS.A.1,HSN.RN.B.3,dependency
8.NS.A.2,8.EE.A.2,conceptual connection
8.SP.A.1,8.SP.A.2,dependency
8.SP.A.1,HSS.ID.B.6.c,dependency
8.SP.A.1,HSS.ID.C.9,dependency
8.SP.A.2,8.F.B.4,conceptual connection
8.SP.A.2,8.SP.A.3,dependency
8.SP.A.2,HSS.ID.B.6.b,dependency
8.SP.A.2,HSS.ID.B.6.c,dependency
8.SP.A.2,HSS.ID.C.8,dependency
8.SP.A.3,8.F.B.4,conceptual connection
8.SP.A.3,HSS.ID.C.7,dependency
8.SP.A.4,HSS.CP.A.4,dependency
8.SP.A.4,HSS.ID.B.5,dependency
8.SP.A.4,HSS.ID.C.9,dependency
HSA.APR.A.1,HSA.SSE.B.4,dependency
HSA.APR.B.2,HSA.APR.B.3,dependency
HSA.APR.B.2,HSN.CN.C.9,dependency
HSA.APR.B.3,HSF.IF.C.7.c,conceptual connection
HSA.APR.D.6,HSA.APR.B.2,dependency
HSA.APR.D.6,HSA.SSE.B.4,dependency
HSA.CED.A.1,HSF.LE.A.1,conceptual connection
HSA.CED.A.1,HSF.LE.A.2,conceptual connection
HSA.CED.A.2,HSA.CED.A.3,conceptual connection
HSA.REI.A.1,HSA.REI.A.2,dependency
HSA.REI.A.1,HSA.REI.B.3,dependency
HSA.REI.A.1,HSA.REI.B.4.a,dependency
HSA.REI.A.1,HSA.REI.B.4.b,dependency
HSA.REI.A.2,HSF.BF.B.4.a,dependency
HSA.REI.B.3,HSA.CED.A.1,dependency
HSA.REI.B.3,HSA.CED.A.4,dependency
HSA.REI.B.3,HSF.BF.B.4.a,dependency
HSA.REI.B.4.a,HSA.REI.B.4.b,dependency
HSA.REI.B.4.a,HSA.SSE.B.3.b,conceptual connection
HSA.REI.B.4.a,HSG.GPE.A.1,dependency
HSA.REI.B.4.b,HSA.CED.A.1,dependency
HSA.REI.B.4.b,HSA.REI.C.7,dependency
HSA.REI.B.4.b,HSA.SSE.B.3.a,dependency
HSA.REI.B.4.b,HSN.CN.C.9,dependency
HSA.REI.C.5,HSA.REI.C.6,dependency
HSA.REI.C.6,HSA.CED.A.3,dependency
HSA.REI.C.6,HSA.REI.C.7,dependency
HSA.REI.C.6,HSA.REI.D.12,dependency
HSA.CED.A.3,HSA.REI.C.7,conceptual connection
HSA.REI.C.7,HSG.GPE.B.4,conceptual connection
HSA.REI.D.10,HSA.CED.A.2,dependency
HSA.REI.D.10,HSA.REI.C.6,dependency
HSA.REI.D.10,HSA.REI.C.7,dependency
HSA.REI.D.10,HSA.REI.D.11,dependency
HSA.REI.D.10,HSA.REI.D.12,dependency
HSA.REI.D.10,HSG.GPE.A.1,dependency
HSA.REI.D.10,HSG.GPE.A.2,dependency
HSA.REI.D.12,HSA.CED.A.3,dependency
HSA.SSE.A.1,HSA.CED.A.1,dependency
HSA.SSE.A.1,HSA.CED.A.2,dependency
HSA.SSE.A.1,HSA.CED.A.3,dependency
HSA.SSE.A.1,HSA.CED.A.4,dependency
HSA.SSE.A.1,HSF.BF.B.3,conceptual connection
HSA.SSE.A.1,HSF.LE.B.5,dependency
HSA.SSE.A.2,HSA.APR.C.4,dependency
HSA.SSE.A.2,HSA.APR.D.6,dependency
HSA.SSE.A.2,HSA.SSE.B.4,dependency
HSA.SSE.A.2,HSN.CN.C.8,dependency
HSA.SSE.B.3.a,HSA.APR.B.2,dependency
HSA.SSE.B.3.a,HSF.IF.C.8.a,conceptual connection
HSA.SSE.B.3.b,HSF.IF.C.8.a,conceptual connection
HSA.SSE.B.3.c,HSF.IF.C.8.b,conceptual connection
HSA.SSE.B.4,HSF.LE.A.2,conceptual connection
HSF.BF.A.1.a,HSF.BF.A.2,dependency
HSF.BF.A.1.a,HSF.LE.A.2,conceptual connection
HSF.BF.A.1.b,HSF.BF.A.2,dependency
HSF.BF.A.1.b,HSF.LE.A.2,conceptual connection
HSF.BF.A.2,HSF.LE.A.1,conceptual connection
HSF.BF.A.2,HSF.LE.A.2,conceptual connection
HSF.BF.B.3,HSF.TF.B.5,dependency
HSF.BF.B.3,HSS.ID.B.6.a,conceptual connection
HSF.BF.B.4,HSF.LE.A.4,conceptual connection
HSF.IF.A.1,HSF.BF.A.1.a,dependency
HSF.IF.A.1,HSF.BF.A.1.b,dependency
HSF.IF.A.1,HSF.BF.B.4.a,dependency
HSF.IF.A.1,HSF.IF.A.2,dependency
HSF.IF.A.1,HSF.IF.A.3,conceptual connection
HSF.IF.A.1,HSF.IF.B.4,dependency
HSF.IF.A.1,HSF.IF.B.5,dependency
HSF.IF.A.1,HSF.IF.C.7.a,dependency
HSF.IF.A.1,HSF.IF.C.7.b,dependency
HSF.IF.A.1,HSF.IF.C.7.c,dependency
HSF.IF.A.1,HSF.IF.C.7.e,dependency
HSF.IF.A.1,HSF.IF.C.9,dependency
HSF.IF.A.1,HSF.TF.A.2,dependency
HSF.IF.A.1,HSG.C.A.2,dependency
HSF.IF.A.1,HSG.CO.A.2,dependency
HSF.IF.A.2,HSF.BF.B.3,dependency
HSF.IF.A.2,HSF.IF.A.3,dependency
HSF.IF.A.2,HSG.C.A.2,dependency
HSF.IF.A.2,HSG.CO.A.2,dependency
HSF.IF.A.3,HSF.BF.A.1.b,dependency
HSF.IF.A.3,HSF.BF.A.2,dependency
HSF.IF.A.3,HSF.IF.A.1,conceptual connection
HSF.IF.B.4,HSF.IF.B.5,conceptual connection
HSF.IF.B.4,HSF.IF.B.6,conceptual connection
HSF.IF.B.4,HSF.LE.B.5,conceptual connection
HSF.IF.B.4,HSF.TF.B.5,conceptual connection
HSF.IF.C.7.a,HSF.BF.B.3,dependency
HSF.IF.C.7.b,HSF.BF.B.3,dependency
HSF.IF.C.7.c,HSF.BF.B.3,dependency
HSF.IF.C.7.d,HSF.BF.B.3,dependency
HSF.IF.C.7.e,HSF.BF.B.3,dependency
HSF.IF.C.7.e,HSF.LE.A.3,dependency
HSF.IF.C.7.e,HSF.TF.B.5,dependency
HSF.LE.A.1,HSF.LE.A.2,dependency
HSF.LE.A.2,HSF.LE.B.5,conceptual connection
HSF.LE.A.2,HSS.ID.B.6.a,conceptual connection
HSF.LE.A.4,HSA.CED.A.1,dependency
HSF.LE.A.4,HSF.BF.B.4.a,conceptual connection
HSF.TF.A.1,HSF.TF.A.2,dependency
HSF.TF.A.2,HSF.TF.B.5,dependency
HSF.TF.A.2,HSF.TF.C.8,dependency
HSF.TF.C.9,HSN.CN.B.5,dependency
HSG.C.B.5,HSF.TF.A.1,dependency
HSG.CO.A.1,HSF.TF.A.1,dependency
HSG.CO.A.1,HSG.C.A.2,dependency
HSG.CO.A.1,HSG.CO.A.2,dependency
HSG.CO.A.1,HSG.CO.A.4,dependency
HSG.CO.A.2,HSG.CO.A.3,dependency
HSG.CO.A.2,HSG.CO.A.4,dependency
HSG.CO.A.4,HSG.CO.A.5,dependency
HSG.CO.A.5,HSG.CO.A.3,dependency
HSG.CO.A.5,HSG.CO.B.6,dependency
HSG.CO.B.6,HSG.CO.B.7,dependency
HSG.CO.B.6,HSG.CO.B.8,dependency
HSG.CO.B.6,HSG.CO.C.9,dependency
HSG.CO.B.7,HSG.CO.B.8,dependency
HSG.CO.B.8,HSG.CO.C.10,dependency
HSG.CO.B.8,HSG.SRT.B.5,dependency
HSG.CO.C.10,HSG.CO.C.11,dependency
HSG.CO.C.10,HSG.SRT.B.4,dependency
HSG.CO.C.10,HSG.SRT.C.7,dependency
HSG.CO.C.9,HSG.CO.C.10,dependency
HSG.CO.C.9,HSG.CO.C.11,dependency
HSG.CO.D.12,HSG.CO.D.13,dependency
HSG.GMD.A.1,HSG.GMD.A.3,dependency
HSG.GMD.A.3,HSG.MG.A.1,conceptual connection
HSG.GPE.A.1,HSA.REI.C.7,dependency
HSG.GPE.A.1,HSG.GPE.B.4,dependency
HSG.MG.A.1,HSG.MG.A.2,conceptual connection
HSG.SRT.A.1,HSG.CO.A.5,dependency
HSG.SRT.A.1,HSG.SRT.A.2,dependency
HSG.SRT.A.2,HSG.SRT.A.3,dependency
HSG.SRT.A.3,HSG.SRT.B.4,dependency
HSG.SRT.A.3,HSG.SRT.B.5,dependency
HSG.SRT.A.3,HSG.SRT.C.6,dependency
HSG.SRT.B.5,HSG.GPE.B.5,dependency
HSG.SRT.B.5,HSG.GPE.B.6,dependency
HSG.SRT.C.6,HSF.TF.A.2,dependency
HSG.SRT.C.6,HSF.TF.C.8,dependency
HSG.SRT.C.6,HSG.SRT.C.7,dependency
HSG.SRT.C.6,HSG.SRT.C.8,dependency
HSG.SRT.C.7,HSG.SRT.C.8,dependency
HSN.CN.A.1,HSN.CN.A.2,dependency
HSN.CN.A.1,HSN.CN.B.4,dependency
HSN.CN.A.1,HSN.CN.C.7,dependency
HSN.CN.A.2,HSN.CN.A.3,dependency
HSN.CN.A.2,HSN.CN.C.7,dependency
HSN.CN.A.2,HSN.CN.C.8,dependency
HSN.CN.A.3,HSN.CN.B.4,dependency
HSN.CN.A.3,HSN.CN.B.5,dependency
HSN.CN.B.4,HSN.CN.B.5,dependency
HSN.CN.B.5,HSN.CN.B.6,dependency
HSN.CN.C.7,HSA.REI.B.4.b,conceptual connection
HSN.CN.C.7,HSA.SSE.B.3.a,dependency
HSN.CN.C.7,HSN.CN.C.9,dependency
HSN.CN.C.8,HSN.CN.C.9,dependency
HSN.Q.A.1,HSA.CED.A.2,conceptual connection
HSN.Q.A.1,HSG.MG.A.1,conceptual connection
HSN.Q.A.1,HSG.MG.A.2,conceptual connection
HSN.Q.A.2,HSG.MG.A.1,conceptual connection
HSN.Q.A.2,HSG.MG.A.2,conceptual connection
HSN.Q.A.3,HSG.MG.A.1,conceptual connection
HSN.Q.A.3,HSG.MG.A.2,conceptual connection
HSN.RN.A.1,HSN.RN.A.2,dependency
HSN.RN.A.2,HSA.REI.A.2,dependency
HSN.RN.A.2,HSA.SSE.B.3.c,dependency
HSN.RN.A.2,HSF.IF.C.8.b,dependency
HSN.RN.B.3,HSN.CN.A.1,dependency
HSS.CP.A.1,HSS.CP.A.2,dependency
HSS.CP.A.1,HSS.CP.A.3,dependency
HSS.CP.A.1,HSS.CP.B.6,dependency
HSS.CP.A.1,HSS.CP.B.7,dependency
HSS.CP.A.2,HSS.CP.A.4,conceptual connection
HSS.CP.A.2,HSS.CP.A.5,conceptual connection
HSS.CP.A.2,HSS.CP.B.6,conceptual connection
HSS.CP.A.3,HSS.CP.A.4,conceptual connection
HSS.CP.A.3,HSS.CP.A.5,conceptual connection
HSS.CP.A.3,HSS.CP.B.6,dependency
HSS.CP.A.4,HSS.CP.A.5,conceptual connection
HSS.CP.A.4,HSS.CP.B.6,conceptual connection
HSS.CP.A.5,HSS.CP.B.6,conceptual connection
HSS.IC.A.1,HSS.IC.B.3,dependency
HSS.IC.A.1,HSS.IC.B.4,dependency
HSS.IC.A.1,HSS.IC.B.5,conceptual connection
HSS.IC.B.3,HSS.IC.B.6,dependency
HSS.IC.B.4,HSS.IC.B.6,dependency
HSS.IC.B.5,HSS.IC.B.6,dependency
HSS.IC.B.6,HSS.ID.C.9,conceptual connection
HSS.ID.C.7,HSS.ID.C.9,conceptual connection
HSS.ID.A.1,HSS.ID.A.2,dependency
HSS.ID.A.2,HSS.ID.A.3,conceptual connection
HSS.ID.A.2,HSS.ID.A.4,dependency
HSS.ID.B.5,HSS.CP.A.4,dependency
HSS.ID.B.6.a,HSS.ID.B.6.b,dependency
HSS.ID.B.6.b,HSS.ID.B.6.c,dependency
HSS.ID.B.6.c,HSS.ID.C.7,conceptual connection
HSS.ID.B.6.c,HSS.ID.C.8,conceptual connection
HSS.ID.C.9,HSS.ID.C.7,conceptual connection
