source,target,relationship
4.MD.B.4,5.MD.B.2,dependency
4.MD.C.5,4.G.A.2,conceptual connection
4.MD.C.5,4.MD.C.6,dependency
4.MD.C.5,4.MD.C.7,dependency
4.MD.C.7,7.G.B.5,dependency
4.MD.C.5,HSG.C.A.1,dependency
4.MD.C.5,HSG.CO.A.1,dependency
4.NBT.A.1,4.NBT.A.2,dependency
4.NBT.A.1,4.NBT.A.3,dependency
4.NBT.A.1,4.NBT.B.4,dependency
4.NBT.A.1,4.NBT.B.5,dependency
4.NBT.A.1,4.NBT.B.6,dependency
4.NBT.A.1,5.NBT.A.1,dependency
4.NBT.A.2,4.NBT.A.3,dependency
4.NBT.A.2,5.NBT.A.3,dependency
4.NBT.A.3,4.OA.A.3,dependency
4.NBT.A.3,5.NBT.A.4,dependency
4.NBT.B.4,5.NBT.B.5,dependency
4.NBT.B.4,5.NBT.B.6,dependency
4.NBT.B.4,5.NBT.B.7,dependency
4.NBT.B.5,4.NBT.B.6,dependency
4.NBT.B.5,5.NBT.B.5,dependency
4.NBT.B.6,4.OA.A.3,dependency
4.NBT.B.6,5.NBT.B.6,dependency
4.NF.A.1,4.NF.A.2,dependency
4.NF.A.1,4.NF.B.3.c,dependency
4.NF.A.1,4.NF.C.5,dependency
4.NF.A.1,5.NF.A.1,dependency
4.NF.A.1,5.NF.B.5,dependency
4.NF.A.2,4.NF.C.7,dependency
4.NF.A.2,5.NF.A.2,dependency
4.NF.B.3.a,4.MD.A.2,dependency
4.NF.B.3.b,4.MD.A.2,dependency
4.NF.B.3.c,4.MD.A.2,dependency
4.NF.B.3.a,4.NF.B.3.d,dependency
4.NF.B.3.b,4.NF.B.3.d,dependency
4.NF.B.3.c,4.NF.B.3.d,dependency
4.NF.B.3.a,4.NF.C.5,dependency
4.NF.B.3.b,4.NF.C.5,dependency
4.NF.B.3.c,4.NF.C.5,dependency
4.NF.B.3.a,5.NF.A.1,dependency
4.NF.B.3.b,5.NF.A.1,dependency
4.NF.B.3.c,5.NF.A.1,dependency
4.NF.B.3.d,5.NF.A.1,dependency
4.NF.B.4,5.NF.B.4.a,dependency
4.NF.B.4,5.NF.B.7,dependency
4.NF.B.4.a,4.NF.B.4.b,dependency
4.NF.B.4.a,4.NF.B.4.c,conceptual connection
4.NF.B.4.b,4.NF.B.4.c,conceptual connection
4.NF.B.4.c,4.MD.A.2,dependency
4.NF.C.5,4.MD.A.2,dependency
4.NF.C.5,5.NBT.A.1,dependency
4.NF.C.6,4.MD.A.2,dependency
4.NF.C.6,4.NF.C.7,dependency
4.NF.C.6,5.NBT.A.1,dependency
4.NF.C.7,5.NBT.A.1,dependency
4.NF.C.7,5.NBT.A.3,dependency
4.OA.A.2,4.MD.A.1,conceptual connection
4.OA.A.2,4.NF.A.1,dependency
4.OA.A.2,4.NF.B.4.a,dependency
4.OA.A.2,6.RP.A.1,dependency
4.OA.A.2,6.RP.A.2,dependency
4.OA.A.2,8.EE.A.3,dependency
4.OA.A.3,4.MD.A.2,conceptual connection
4.OA.A.3,7.NS.A.3,dependency
4.OA.B.4,6.EE.A.1,dependency
4.OA.B.4,6.NS.B.4,dependency
